node,similar_node,cosine_similarity
"1975","Microsoft",0.678401
"1975","Google",0.569442
"1975","2021",0.516398
"1975","Redmond",0.500000
"1975","2023",0.500000
"1993","Nvidia",0.548151
"1993","2023",0.500000
"1993","2019",0.500000
"1993","2015",0.500000
"1993","2010",0.500000
"1998","Google",0.623675
"1998","2021",0.516398
"1998","2023",0.500000
"1998","2019",0.500000
"1998","2015",0.500000
"2004","Meta",0.699378
"2004","Llama",0.577350
"2004","2021",0.516398
"2004","2023",0.500000
"2004","2019",0.500000
"2010","DeepMind",0.604743
"2010","2021",0.516398
"2010","London",0.500000
"2010","2023",0.500000
"2010","2019",0.500000
"2015","2023",0.750000
"2015","OpenAI",0.699441
"2015","Greg Brockman",0.670821
"2015","2021",0.516398
"2015","2019",0.500000
"2019","Cohere",0.703527
"2019","2021",0.516398
"2019","Toronto",0.500000
"2019","2023",0.500000
"2019","2015",0.500000
"2021","Character AI",0.669439
"2021","2022",0.608581
"2021","Anthropic",0.555556
"2021","2023",0.516398
"2021","2019",0.516398
"2022","Perplexity AI",0.688999
"2022","Inflection AI",0.653538
"2022","2021",0.608581
"2022","Karen Simonyan",0.589256
"2022","Character AI",0.555556
"2023","2015",0.750000
"2023","xAI",0.693375
"2023","2021",0.516398
"2023","2019",0.500000
"2023","2010",0.500000
"Aidan Gomez","Google",0.532107
"Aidan Gomez","Cohere",0.467100
"Aidan Gomez","Nick Frosst",0.466667
"Aidan Gomez","Sergey Brin",0.461881
"Aidan Gomez","Daniel De Freitas",0.461881
"AlphaFold","AlphaGo",0.666666
"AlphaFold","DeepMind",0.567366
"AlphaFold","Llama",0.333333
"AlphaFold","Grok",0.333333
"AlphaFold","Gemini",0.333333
"AlphaGo","AlphaFold",0.666666
"AlphaGo","DeepMind",0.567366
"AlphaGo","Llama",0.333333
"AlphaGo","Grok",0.333333
"AlphaGo","Gemini",0.333333
"Amazon","Nvidia",0.520022
"Amazon","Anthropic",0.435465
"Amazon","2023",0.316228
"Amazon","2015",0.316228
"Amazon","2021",0.244949
"Andy Konwinski","Perplexity AI",0.795586
"Andy Konwinski","Johnny Ho",0.666666
"Andy Konwinski","Denis Yarats",0.666666
"Andy Konwinski","Karen Simonyan",0.612372
"Andy Konwinski","Chris Malachowsky",0.547723
"Anthropic","artificial intelligence safety company",0.659841
"Anthropic","Claude",0.596285
"Anthropic","2021",0.555556
"Anthropic","San Francisco",0.507151
"Anthropic","artificial intelligence company",0.483274
"Aravind Srinivas","Daniel De Freitas",0.559017
"Aravind Srinivas","Perplexity AI",0.524672
"Aravind Srinivas","OpenAI",0.469624
"Aravind Srinivas","Paul Allen",0.447214
"Aravind Srinivas","Johnny Ho",0.408248
"Azure AI","Microsoft",0.565334
"Azure AI","an AI answer engine",0.500000
"Azure AI","Pi",0.500000
"Azure AI","conversational agents",0.447214
"Azure AI","Inflection AI",0.357771
"Bill Gates","Microsoft",0.606781
"Bill Gates","Paul Allen",0.600001
"Bill Gates","Mark Zuckerberg",0.600001
"Bill Gates","Meta",0.458732
"Bill Gates","Reid Hoffman",0.447214
"Character AI","conversational agents",0.685161
"Character AI","2021",0.669439
"Character AI","Perplexity AI",0.609499
"Character AI","Inflection AI",0.600833
"Character AI","Karen Simonyan",0.589256
"ChatGPT","GPT models",0.577350
"ChatGPT","OpenAI",0.553813
"ChatGPT","San Francisco",0.408248
"ChatGPT","Sam Altman",0.387298
"ChatGPT","Llama",0.333333
"Chris Malachowsky","Nvidia",0.612852
"Chris Malachowsky","Jensen Huang",0.600001
"Chris Malachowsky","Curtis Priem",0.600001
"Chris Malachowsky","Johnny Ho",0.547723
"Chris Malachowsky","Denis Yarats",0.547723
"Claude","Anthropic",0.596285
"Claude","San Francisco",0.408248
"Claude","artificial intelligence safety company",0.384900
"Claude","Llama",0.333333
"Claude","Grok",0.333333
"Cohere","Ivan Zhang",0.764094
"Cohere","2019",0.703527
"Cohere","Sergey Brin",0.674200
"Cohere","Toronto",0.603023
"Cohere","Nick Frosst",0.519000
"Command models","Cohere",0.502519
"Command models","GPT models",0.500000
"Command models","Grok",0.288675
"Command models","Gemini",0.288675
"Command models","GPUs",0.288675
"Curtis Priem","Mustafa Suleyman",0.613573
"Curtis Priem","Nvidia",0.612852
"Curtis Priem","Jensen Huang",0.600001
"Curtis Priem","Chris Malachowsky",0.600001
"Curtis Priem","Daniel De Freitas",0.500000
"Daniel De Freitas","Nick Frosst",0.692821
"Daniel De Freitas","Google",0.582086
"Daniel De Freitas","Aravind Srinivas",0.559017
"Daniel De Freitas","Karen Simonyan",0.559017
"Daniel De Freitas","DeepMind",0.507092
"Daniela Amodei","Dario Amodei",0.733334
"Daniela Amodei","John Schulman",0.577351
"Daniela Amodei","Elon Musk",0.547723
"Daniela Amodei","OpenAI",0.495346
"Daniela Amodei","Anthropic",0.444445
"Dario Amodei","Daniela Amodei",0.733334
"Dario Amodei","OpenAI",0.474706
"Dario Amodei","Anthropic",0.444445
"Dario Amodei","Denis Yarats",0.421637
"Dario Amodei","Daniel De Freitas",0.404145
"DeepMind","Demis Hassabis",0.755929
"DeepMind","Shane Legg",0.676124
"DeepMind","Jensen Huang",0.608512
"DeepMind","2010",0.604743
"DeepMind","AlphaGo",0.567366
"DeepMind in 2014","Google",0.679100
"DeepMind in 2014","DeepMind",0.473287
"DeepMind in 2014","London",0.447214
"DeepMind in 2014","2010",0.447214
"DeepMind in 2014","1998",0.447214
"Demis Hassabis","DeepMind",0.755929
"Demis Hassabis","Shane Legg",0.447214
"Demis Hassabis","Jensen Huang",0.447214
"Demis Hassabis","Noam Shazeer",0.433013
"Demis Hassabis","OpenAI",0.379696
"Denis Yarats","Perplexity AI",0.795586
"Denis Yarats","Johnny Ho",0.666666
"Denis Yarats","Andy Konwinski",0.666666
"Denis Yarats","Karen Simonyan",0.612372
"Denis Yarats","Shane Legg",0.547723
"Elon Musk","Elon Musk ",0.737866
"Elon Musk","John Schulman",0.632457
"Elon Musk","Daniela Amodei",0.547723
"Elon Musk","Wojciech Zaremba",0.527047
"Elon Musk","Ilya Sutskever",0.527047
"Elon Musk ","Elon Musk",0.737866
"Elon Musk ","John Schulman",0.600001
"Elon Musk ","OpenAI",0.536228
"Elon Musk ","2015",0.447214
"Elon Musk ","Wojciech Zaremba",0.400001
"GPT models","ChatGPT",0.577350
