subject,predicate,object,source
OpenAI,IS_A,ARTIFICIAL_INTELLIGENCE_COMPANY,OpenAI
OpenAI,FOUNDED_BY,Sam Altman,OpenAI
OpenAI,FOUNDED_BY,Greg Brockman,OpenAI
OpenAI,FOUNDED_BY,Ilya Sutskever,OpenAI
OpenAI,FOUNDED_BY,Wojciech Zaremba,OpenAI
OpenAI,FOUNDED_BY,John Schulman,OpenAI
OpenAI,FOUNDED_BY,Elon Musk,OpenAI
OpenAI,FOUNDED_IN,2015,OpenAI
OpenAI,DEVELOPS,ChatGPT,OpenAI
OpenAI,DEVELOPS,GPT models,OpenAI
Sam Altman,CEO_OF,OpenAI,OpenAI
OpenAI,PARTNERED_WITH,Microsoft,OpenAI
Microsoft,INVESTED_IN,OpenAI,OpenAI
OpenAI,BASED_IN,San Francisco,OpenAI
Anthropic,IS_A,ARTIFICIAL_INTELLIGENCE_SAFETY_COMPANY,Anthropic
Anthropic,FOUNDED_BY,Dario_Amodei,Anthropic
Anthropic,FOUNDED_BY,Daniela_Amodei,Anthropic
Anthropic,FOUNDED_IN,2021,Anthropic
Dario_Amodei,FORMERLY_WORKED_AT,OpenAI,Anthropic
Daniela_Amodei,FORMERLY_WORKED_AT,OpenAI,Anthropic
Anthropic,DEVELOPS,Claude,Anthropic
Amazon,INVESTED_IN,Anthropic,Anthropic
Google,INVESTED_IN,Anthropic,Anthropic
Anthropic,BASED_IN,San_Francisco,Anthropic
DeepMind,IS_A,ARTIFICIAL_INTELLIGENCE_RESEARCH_COMPANY,DeepMind
DeepMind,FOUNDED_BY,Demis Hassabis,DeepMind
DeepMind,FOUNDED_BY,Shane Legg,DeepMind
DeepMind,FOUNDED_BY,Mustafa Suleyman,DeepMind
DeepMind,FOUNDED_IN,2010,DeepMind
Google,ACQUIRED,DeepMind,DeepMind
DeepMind,DEVELOPS,AlphaGo,DeepMind
DeepMind,DEVELOPS,AlphaFold,DeepMind
Demis Hassabis,CEO_OF,DeepMind,DeepMind
DeepMind,BASED_IN,London,DeepMind
Google,IS_A,Technology_Company,Google
Google,FOUNDED_BY,Larry_Page,Google
Google,FOUNDED_BY,Sergey_Brin,Google
Google,FOUNDED_IN,1998,Google
Google,WORKS_AT,Jeff_Dean,Google
Google,DEVELOPS,Gemini,Google
Google,BASED_IN,Mountain_View,Google
Microsoft,IS_A,Technology_Company,Microsoft
